display_name,simplified_summary
Public economics,"Public economics examines government policy's impact on economic efficiency and equity, utilizing microeconomic theory to assess taxation, expenditures, and market failures, aiming to enhance social welfare through public finance and policy design."
Physical geography,"Physical geography studies natural environmental processes and patterns, such as those in the atmosphere and biosphere, distinguishing it from human geography's focus on built environments and technical geography's emphasis on spatial information tools."
Finance,"Finance is the study of money, assets, and liabilities across personal, corporate, and public sectors, involving activities like trading and insuring assets, with subfields such as risk management and financial analysis, crucial to business."
Economic policy,"Economic policy encompasses government strategies for managing taxation, budgets, money supply, interest rates, labor markets, and national ownership, influenced by international institutions and political beliefs, and categorized into fiscal and monetary policies."
Anatomy,"Anatomy, derived from the Greek for 'dissection', is the branch of natural science focused on studying the internal structures of organisms, particularly humans, utilizing advanced imaging and encompassing both macroscopic and microscopic levels."
Statistics,"Statistics is the study of data collection, organization, analysis, interpretation, and presentation, utilizing descriptive and inferential methods to summarize and draw conclusions from data, often addressing scientific, industrial, or social problems."
Financial economics,"Financial economics studies monetary activities and relationships between financial variables, such as share prices and interest rates, using econometric techniques and mathematical models, focusing primarily on microeconomic aspects like asset pricing and corporate finance."
Aesthetics,"Aesthetics is the philosophy branch that studies beauty, taste, and art, focusing on critical judgments, individual interactions, and the creation, enjoyment, and impact of art to define and evaluate aesthetic value."
Construction engineering,"Construction engineering, a subfield of civil engineering, focuses on designing, planning, and managing infrastructure projects with an emphasis on construction procedures, cost, scheduling, and personnel management to ensure timely and budget-compliant project delivery."
Human-computer interaction,"Human-computer interaction (HCI) is a multidisciplinary field focused on designing technologies to enhance the interactive dialogue between humans and computers, emphasizing diverse and open-ended user engagements since its inception in 1975."
Environmental resource management,"Environmental resource management involves managing human impact on the environment to protect ecosystem services for future generations, balancing ethical, economic, and ecological factors, and encompassing fields like sustainability, resource and wildlife management, and environmental protection."
Environmental chemistry,"Environmental chemistry is the interdisciplinary study of chemical and biochemical processes in natural environments, examining the sources, reactions, transport, effects, and fates of chemical species in air, soil, and water, including human impacts."
Gender studies,"Gender studies is an interdisciplinary field examining gender identity and representation, intersecting with race, ethnicity, and social class, and influenced by feminist psychoanalysis, primarily within Western academia since the 1990s."
Internet privacy,"Internet privacy is the right to control the storage, use, and display of personal information online, encompassing both identifiable and non-identifiable data, to protect against potential abuses despite the appeal of online sharing."
Particle physics,"Particle physics investigates fundamental particles and forces, focusing on fermions and bosons in the Standard Model, particle interactions, and unresolved gravity integration, utilizing theoretical frameworks and particle accelerators."
Engineering management,"Engineering management integrates engineering problem-solving and managerial skills to lead engineering-focused enterprises, with degrees encompassing project management, supply chain management, programming, and quality control, akin to MBA programs."
Oceanography,"Oceanography, or marine science, is the multidisciplinary study of the ocean's physical, chemical, biological, and geological aspects, including currents, waves, chemical fluxes, ecosystem dynamics, and seabed geology."
Epistemology,"Epistemology is the philosophical study of the nature, origin, and limits of knowledge, examining types and sources of justification, and encompassing perspectives like skepticism, empiricism, and rationalism, with specialized branches for fields like science and morality."
Psychoanalysis,"Psychoanalysis, developed by Sigmund Freud, is a theory and treatment method focusing on unconscious mental processes, repression, sexuality, and the Oedipus complex, viewing the human psyche as comprising innate needs, consciousness, and memory storage."
Operating system,"An operating system (OS) manages hardware and software resources, schedules tasks, and serves as an intermediary between programs and hardware, with different types dominating various device markets like personal computers, mobile, servers, and supercomputers."
Advertising,"Advertising is a practice aimed at promoting products or services to increase consumption or sales, with significant evolution since the 1920s and major global expenditure of $529.43 billion across various media in 2015."
Risk analysis (engineering),"Risk analysis in engineering involves identifying, evaluating, and prioritizing risks from various sources to minimize, monitor, and control their impact through strategies like avoidance, reduction, transfer, or retention."
Computer engineering,"Computer engineering combines computer science and electronic engineering to develop hardware and software, requiring expertise in areas like electronic engineering, software design, AI, and often focuses on specific specializations such as microprocessors, operating systems, and robotics."
Algorithm,"An algorithm is a finite set of precise mathematical instructions designed to solve specific problems or perform computations, often involving automated decision-making and reasoning, and leading to a final output."
